on table first test,on table second test,on table third test,on arm first test,on arm second test,on arm third test
0.659113,0.743736,1.183508,1.236682,0.291175,1.279987
0.391954,2.396864,0.775438,3.567348,1.95326,1.677502
1.327119,3.240597,0.973922,1.565573,1.322099,0.709275
0.870515,2.423483,2.469891,3.715408,2.827604,0.964066
1.452148,2.006789,1.89245,3.398084,2.292137,0.567261
0.230647,1.891221,1.163741,0.03195,0.718184,1.184042
1.054767,0.443231,2.069502,0.255074,0.866406,3.257453
0.580441,1.722122,2.059507,2.320087,2.753353,2.532712
1.960638,2.251744,0.209518,2.331369,2.211934,3.642256
1.574833,3.794247,1.61595,2.554991,1.377863,1.350145
0.673589,3.527638,1.881164,1.8727,3.215981,1.936462
0.670994,0.212117,1.751315,2.891116,2.36683,1.60146
1.062457,1.072223,1.355555,0.102219,1.477353,1.303376
0.942875,2.052489,0.870253,1.240816,2.459218,2.339021
0.061162,1.146859,3.414106,1.851749,0.8362,2.050171
3.667502,1.712776,1.771204,3.72928,4.477955,0.938267
2.109815,2.105252,2.105558,2.066993,2.339436,2.058634
1.779866,1.718827,1.651139,2.754835,4.304326,2.260508
1.427242,1.385193,1.043876,1.243867,1.392922,1.341559
3.09437,2.122712,2.297204,0.879306,1.947319,2.299603
2.638796,2.50353,0.196479,2.180041,0.2223,3.243451
3.648492,1.865404,1.114743,3.681783,1.311856,2.479324
2.104036,2.099941,2.095637,2.363019,2.223186,2.177166
1.550983,0.487099,0.869003,1.649839,1.442596,3.177109
1.3119,1.026229,0.13318,0.636736,1.769183,3.345933
1.997788,2.514701,2.014315,2.563391,2.263997,2.850079
0.535089,1.753131,0.344786,1.829799,0.840914,0.119056
2.545263,2.672799,2.486297,1.59469,2.453905,3.7141
1.866093,2.317399,1.829382,1.869664,2.254478,2.263007
1.665312,2.782892,0.298704,0.735656,0.769401,0.058765
0.000249,0.004057,0.103419,0.647743,0.368647,2.574201
3.417409,2.338706,1.329869,2.671253,1.977413,2.195802
2.517377,2.617446,2.292114,2.939463,1.312795,2.902814
2.249936,2.548273,1.676451,1.220647,0.812376,1.995836
0.635614,1.15894,3.380274,1.407586,1.603912,2.306731
0.262554,0.965583,1.765597,1.349874,0.96732,1.414226
