channel,impedance
1,3074.478684
2,3174.655375
3,3353.88163
4,3271.361199
5,2963.025731
6,2507.658605
7,2893.498508
8,2685.270763
9,2766.01901
10,2808.713657
11,2658.678456
12,2672.092094
13,2996.238875
14,2940.725549
15,2854.116276
16,2681.027728
17,2129.743049
18,2177.656218
19,2973.12985
20,2551.10591
21,2597.383942
22,2503.64166
23,2433.034541
24,2237.198924
25,2815.015638
26,2857.522414
27,2864.142255
28,2656.190921
29,2643.678593
30,2567.346108
31,2504.934227
32,2620.548565
33,3078.694884
34,2737.576821
35,3083.50841
36,3484.702712
