Time(s),Temperature
0,31.555
0.1,31.545
0.2,31.525
0.3,31.545
0.4,31.535
0.5,31.535
0.6,31.545
0.7,31.555
0.8,31.555
0.9,31.54
1,31.53
1.1,31.54
1.2,31.535
1.3,31.53
1.4,31.54
1.5,31.54
1.6,31.535
1.7,31.545
1.8,31.54
1.9,31.535
2,31.545
2.1,31.55
2.2,31.54
2.3,31.525
2.4,31.535
2.5,31.535
2.6,31.53
2.7,31.53
2.8,31.54
2.9,31.535
3,31.54
3.1,31.55
3.2,31.545
3.3,31.535
3.4,31.55
3.5,31.525
3.6,31.535
3.7,31.545
3.8,31.54
3.9,31.535
4,31.525
4.1,31.545
4.2,31.54
4.3,31.54
4.4,31.52
4.5,31.545
4.6,31.525
4.7,31.53
4.8,31.55
4.9,31.54
5,31.57
5.1,31.625
5.2,31.685
5.3,31.77
5.4,31.865
5.5,31.98
5.6,32.115
5.7,32.25
5.8,32.4
5.9,32.545
6,32.69
6.1,32.835
6.2,32.98
6.3,33.085
6.4,33.21
6.5,33.33
6.6,33.42
6.7,33.515
6.8,33.605
6.9,33.685
7,33.775
7.1,33.845
7.2,33.925
7.3,33.995
7.4,34.055
7.5,34.13
7.6,34.185
7.7,34.26
7.8,34.3
7.9,34.37
8,34.42
8.1,34.475
8.2,34.545
8.3,34.595
8.4,34.66
8.5,34.71
8.6,34.735
8.7,34.805
8.8,34.835
8.9,34.9
9,34.935
9.1,34.985
9.2,35.025
9.3,35.09
9.4,35.135
9.5,35.165
9.6,35.22
9.7,35.275
9.8,35.33
9.9,35.355
10,35.385
10.1,35.42
10.2,35.45
10.3,35.48
10.4,35.475
10.5,35.49
10.6,35.49
10.7,35.48
10.8,35.49
10.9,35.48
11,35.47
11.1,35.46
11.2,35.455
11.3,35.44
11.4,35.425
11.5,35.425
11.6,35.4
11.7,35.37
11.8,35.355
11.9,35.335
12,35.315
12.1,35.31
12.2,35.275
12.3,35.275
12.4,35.255
12.5,35.23
12.6,35.215
12.7,35.185
12.8,35.17
12.9,35.155
13,35.145
13.1,35.115
13.2,35.115
13.3,35.1
13.4,35.065
13.5,35.045
13.6,35.04
13.7,35.015
13.8,35.005
13.9,34.995
14,34.98
14.1,34.965
14.2,34.94
14.3,34.925
14.4,34.91
14.5,34.895
14.6,34.885
14.7,34.87
14.8,34.855
14.9,34.84
15,34.835
