pair_id,participant,distance_to_group_mean_mm
LV1,1,19.503439
LV1,2,14.898148
LV1,3,4.317961
LV1,4,10.441349
LV1,5,16.137306
LV1,6,13.034679
LV1,7,41.908531
LV1,8,23.522301
LV1,9,3.891766
LV1,10,14.638273
LV1,11,44.423072
LV1,12,19.976771
LV1,13,23.850819
LV1,14,14.520856
LV1,15,79.835964
LV1,16,7.109297
LV1,17,11.343975
LV1,18,20.635212
LV1,19,28.877111
LV1,20,11.127481
LV1,21,28.534120
LV1,22,19.531419
LV1,23,18.077255
LV1,24,35.533094
LV3,1,29.574661
LV3,2,26.749401
LV3,3,13.736319
LV3,4,12.528072
LV3,5,20.941424
LV3,6,40.780006
LV3,7,20.852191
LV3,8,7.994879
LV3,9,6.448631
LV3,10,18.400975
LV3,11,26.253201
LV3,12,10.956013
LV3,13,24.131347
LV3,14,13.037743
LV3,15,20.164930
LV3,16,0.429327
LV3,17,21.545342
LV3,18,17.908140
LV3,19,17.599093
LV3,20,10.955277
LV3,21,22.641742
LV3,22,20.344132
LV3,23,20.135207
LV3,24,29.709952
LV5,1,29.395676
LV5,2,37.378077
LV5,3,16.099453
LV5,4,7.757531
LV5,5,34.786045
LV5,6,42.706755
LV5,7,21.295803
LV5,8,28.359592
LV5,9,8.171442
LV5,10,21.453466
LV5,11,32.942932
LV5,12,34.128462
LV5,13,26.093462
LV5,15,60.387736
LV5,16,15.449661
LV5,17,28.420820
LV5,18,63.277094
LV5,19,6.357859
LV5,20,6.164429
LV5,21,32.593045
LV5,22,34.163036
LV5,23,22.365384
LV5,24,25.134835
MV1,1,18.692576
MV1,2,9.927650
MV1,3,18.179297
MV1,4,9.978347
MV1,5,11.166142
MV1,6,17.486745
MV1,7,10.345702
MV1,8,37.506767
MV1,9,14.931014
MV1,10,16.905467
MV1,11,13.049575
MV1,12,9.881364
MV1,13,15.600117
MV1,14,34.786662
MV1,15,26.402500
MV1,16,3.069691
MV1,17,50.106991
MV1,18,16.951034
MV1,19,26.864073
MV1,20,13.439861
MV1,21,28.457421
MV1,22,1.619081
MV1,23,17.220547
MV1,24,20.126150
MV2,1,20.429419
MV2,2,15.206301
MV2,3,24.503930
MV2,4,18.083792
MV2,5,13.673839
MV2,6,19.157589
MV2,7,8.915733
MV2,8,24.241214
MV2,9,10.686400
MV2,10,5.832712
MV2,11,20.532714
MV2,12,11.600328
MV2,13,22.532733
MV2,14,42.793653
MV2,15,21.440138
MV2,16,6.313575
MV2,17,42.286225
MV2,18,11.346905
MV2,19,27.915427
MV2,20,8.870081
MV2,21,14.981228
MV2,22,11.521544
MV2,23,17.028629
MV2,24,18.827184
MV3,1,8.530999
MV3,2,5.141841
MV3,3,5.397248
MV3,4,4.101657
MV3,5,5.624731
MV3,6,21.195342
MV3,7,26.297725
MV3,8,14.827285
MV3,9,10.458194
MV3,10,18.839363
MV3,11,24.324773
MV3,12,19.743089
MV3,13,12.319992
MV3,14,10.725285
MV3,15,28.219418
MV3,16,7.879827
MV3,17,14.668293
MV3,18,15.314651
MV3,19,14.807977
MV3,20,25.862707
MV3,21,14.965353
MV3,22,7.788651
MV3,23,18.519829
MV3,24,40.215187
MV4,1,26.961149
MV4,2,9.841973
MV4,3,11.904626
MV4,4,4.077870
MV4,5,19.971894
MV4,6,23.175887
MV4,7,33.885084
MV4,8,19.128044
MV4,9,17.873715
MV4,10,18.762902
MV4,11,5.771011
MV4,12,25.390409
MV4,13,12.286414
MV4,14,14.698472
MV4,15,42.581591
MV4,16,4.112758
MV4,17,31.724893
MV4,18,13.993032
MV4,19,17.728309
MV4,20,17.248793
MV4,21,18.389585
MV4,22,21.438308
MV4,23,17.487918
MV4,24,32.260143
MV5,1,22.963290
MV5,2,7.754919
MV5,3,18.909194
MV5,4,37.654520
MV5,5,31.686366
MV5,6,30.479968
MV5,7,6.751746
MV5,8,37.508737
MV5,9,22.879080
MV5,10,15.440923
MV5,11,60.390759
MV5,12,24.518892
MV5,13,13.797682
MV5,14,19.966633
MV5,15,25.609429
MV5,16,7.229679
MV5,17,18.962684
MV5,18,10.622363
MV5,19,29.983816
MV5,20,8.673662
MV5,21,27.671655
MV5,22,39.477212
MV5,23,18.671634
MV5,24,50.579352
RV1,1,21.468329
RV1,2,11.994893
RV1,3,11.208085
RV1,4,4.903569
RV1,5,32.335064
RV1,6,5.464671
RV1,7,16.636049
RV1,8,25.094203
RV1,9,12.977604
RV1,10,5.821763
RV1,11,7.240337
RV1,12,20.689365
RV1,13,13.099806
RV1,15,12.997374
RV1,16,19.079854
RV1,17,32.332559
RV1,18,25.081932
RV1,19,18.052505
RV1,20,39.703453
RV1,21,19.583738
RV1,23,29.778447
RV1,24,31.475649
RV3,1,14.080098
RV3,2,18.949516
RV3,3,12.040567
RV3,4,17.924024
RV3,5,16.861426
RV3,6,20.420292
RV3,7,19.025056
RV3,8,21.523670
RV3,9,3.470648
RV3,10,16.483058
RV3,11,3.480156
RV3,12,31.530367
RV3,13,22.112783
RV3,14,25.347539
RV3,15,17.829268
RV3,16,15.532909
RV3,17,35.169786
RV3,18,21.418824
RV3,19,22.048468
RV3,20,27.634344
RV3,21,25.755525
RV3,22,25.126892
RV3,23,17.245954
RV3,24,15.174836
RV5,1,6.493425
RV5,3,16.708730
RV5,4,21.818511
RV5,5,6.255020
RV5,7,15.055994
RV5,8,34.059000
RV5,9,19.688094
RV5,10,35.056468
RV5,11,33.451359
RV5,12,29.390621
RV5,13,27.812842
RV5,14,11.515809
RV5,15,17.965731
RV5,16,31.399822
RV5,17,49.218121
RV5,18,18.624517
RV5,19,15.416387
RV5,20,20.246285
RV5,21,6.072818
RV5,22,23.771364
RV5,23,17.605621
RV5,24,24.585841
TH1,1,3.684863
TH1,2,9.075805
TH1,3,21.301194
TH1,4,14.759728
TH1,5,1.031187
TH1,6,39.304316
TH1,7,8.884443
TH1,8,12.431614
TH1,9,10.834025
TH1,10,16.311311
TH1,11,8.278010
TH1,12,35.421565
TH1,13,19.608770
TH1,14,14.406639
TH1,15,12.335288
TH1,16,10.207880
TH1,17,17.080949
TH1,18,16.401348
TH1,19,14.041002
TH1,20,23.663434
TH1,21,17.418816
TH1,22,4.945795
TH1,23,21.906194
TH1,24,32.336253
TH3,1,28.986959
TH3,2,15.996473
TH3,3,20.921826
TH3,4,17.010786
TH3,5,16.762023
TH3,6,22.356330
TH3,7,20.595899
TH3,8,23.504083
TH3,9,14.401533
TH3,10,30.765178
TH3,11,13.771523
TH3,12,31.531221
TH3,13,26.297836
TH3,14,17.177296
TH3,15,33.303762
TH3,16,17.494493
TH3,17,19.291973
TH3,18,13.152711
TH3,19,29.197656
TH3,20,14.832506
TH3,21,5.833091
TH3,22,13.508860
TH3,23,22.855048
TH3,24,18.067842
TH5,1,3.266935
TH5,2,55.158096
TH5,3,20.206077
TH5,4,15.536158
TH5,5,6.168443
TH5,6,31.010891
TH5,7,14.310743
TH5,8,20.908445
TH5,9,4.321882
TH5,10,30.225760
TH5,11,16.080391
