pair_id,participant,distance_to_group_mean_mm
LV1,1,32.116882
LV1,2,45.101435
LV1,3,35.641689
LV1,4,44.711388
LV1,5,27.774973
LV1,6,27.027623
LV1,7,36.822062
LV1,8,58.839753
LV1,9,27.128015
LV1,10,39.224039
LV1,11,63.723998
LV1,12,40.410897
LV1,13,49.648313
LV1,14,21.199108
LV1,15,34.810082
LV1,16,29.810720
LV1,17,23.917724
LV1,18,16.813626
LV1,19,52.058905
LV1,20,26.684924
LV1,21,29.534899
LV1,22,28.537901
LV1,23,43.434011
LV1,24,35.704603
LV3,1,49.831188
LV3,2,55.220834
LV3,3,39.196373
LV3,4,43.730387
LV3,5,36.262770
LV3,6,37.694559
LV3,7,37.757716
LV3,8,45.573229
LV3,9,25.200761
LV3,10,11.718152
LV3,11,58.574448
LV3,12,39.884382
LV3,13,31.596728
LV3,14,23.332902
LV3,15,48.046331
LV3,16,41.985386
LV3,17,42.256515
LV3,18,13.861400
LV3,19,35.239866
LV3,20,16.849032
LV3,21,34.984454
LV3,22,37.910336
LV3,23,21.496294
LV3,24,34.847061
LV5,1,44.950781
LV5,3,29.841323
LV5,4,41.667145
LV5,5,50.646097
LV5,6,42.013095
LV5,7,37.609633
LV5,8,63.190095
LV5,9,31.687830
LV5,10,38.682337
LV5,11,49.331149
LV5,12,53.375915
LV5,13,46.069387
LV5,14,34.751466
LV5,15,49.791045
LV5,16,36.200444
LV5,17,23.974562
LV5,18,7.601996
LV5,19,20.857829
LV5,20,18.930798
LV5,21,26.130939
LV5,22,32.152490
LV5,23,40.572828
LV5,24,39.429498
MV1,1,10.785075
MV1,3,31.959061
MV1,4,37.380700
MV1,5,35.215293
MV1,6,50.890535
MV1,7,24.449046
MV1,8,55.682259
MV1,9,25.318735
MV1,10,12.434948
MV1,11,1.780817
MV1,12,23.845933
MV1,13,22.787289
MV1,14,30.046246
MV1,15,25.643330
MV1,16,8.059322
MV1,17,37.737196
MV1,18,33.241486
MV1,19,59.536400
MV1,20,10.143389
MV1,21,6.613116
MV1,22,28.959442
MV1,23,10.776596
MV1,24,17.043292
MV2,1,23.721310
MV2,2,15.895284
MV2,3,29.727143
MV2,4,27.916294
MV2,5,17.377085
MV2,6,46.617393
MV2,7,23.164986
MV2,8,19.033197
MV2,9,36.966272
MV2,10,10.818234
MV2,11,11.971341
MV2,12,49.853396
MV2,13,50.526778
MV2,14,39.357092
MV2,15,34.513910
MV2,16,8.326714
MV2,17,42.242423
MV2,18,24.056879
MV2,19,17.799870
MV2,20,4.220450
MV2,21,5.851675
MV2,22,24.973359
MV2,23,29.380312
MV2,24,26.313483
MV3,1,25.540452
MV3,3,26.431916
MV3,4,32.333561
MV3,5,37.475512
MV3,6,43.220852
MV3,7,27.652784
MV3,8,21.335837
MV3,9,41.929591
MV3,10,14.673922
MV3,11,21.951969
MV3,12,35.160526
MV3,13,27.300798
MV3,14,26.379441
MV3,15,26.770527
MV3,16,16.938072
MV3,17,42.222885
MV3,18,6.214560
MV3,19,34.582292
MV3,20,26.133141
MV3,21,26.918564
MV3,22,6.742542
MV3,23,4.622007
MV3,24,42.623780
MV4,1,36.179077
MV4,2,49.629962
MV4,3,32.305401
MV4,4,23.241895
MV4,5,31.727090
MV4,6,38.915950
MV4,7,11.560900
MV4,8,24.590570
MV4,9,51.978597
MV4,10,29.167836
MV4,11,17.634032
MV4,12,45.302105
MV4,13,24.454679
MV4,14,19.520916
MV4,15,41.502171
MV4,16,22.956096
MV4,17,25.433380
MV4,18,20.545277
MV4,19,15.234638
MV4,20,21.633889
MV4,21,10.105129
MV4,22,22.361975
MV4,23,10.269623
MV4,24,37.070244
MV5,1,10.474246
MV5,3,8.807464
MV5,4,26.597503
MV5,5,28.818512
MV5,6,35.211167
MV5,7,22.521511
MV5,8,18.748058
MV5,9,32.601308
MV5,10,31.566790
MV5,11,18.570677
MV5,12,39.145288
MV5,13,25.859004
MV5,14,11.707613
MV5,15,35.963011
MV5,16,34.111564
MV5,17,57.045399
MV5,18,7.256664
MV5,19,37.979847
MV5,20,22.402473
MV5,21,10.629058
MV5,22,25.028906
MV5,23,15.367600
MV5,24,19.328470
RV1,1,38.832924
RV1,3,33.772987
RV1,4,46.710376
RV1,5,47.269638
RV1,6,51.437861
RV1,7,39.757632
RV1,8,52.562999
RV1,9,26.995230
RV1,10,15.325996
RV1,11,35.293660
RV1,12,39.079924
RV1,13,63.044453
RV1,14,44.542142
RV1,15,32.325578
RV1,16,35.493492
RV1,17,52.554330
RV1,18,16.069270
RV1,19,38.932033
RV1,20,35.389807
RV1,21,32.352553
RV1,22,33.223330
RV1,23,31.177220
RV1,24,56.039360
RV3,1,53.050039
RV3,2,36.323512
RV3,3,48.531527
RV3,4,50.791729
RV3,5,23.549946
RV3,6,36.016193
RV3,7,17.568740
RV3,8,59.499785
RV3,9,35.636782
RV3,10,27.470812
RV3,11,42.999285
RV3,12,35.876607
RV3,13,40.946255
RV3,14,32.598942
RV3,15,20.447560
RV3,16,35.800606
RV3,17,21.150344
RV3,18,27.271535
RV3,19,4.882921
RV3,20,29.092607
RV3,21,34.524193
RV3,22,28.206580
RV3,23,12.528860
RV3,24,62.724741
RV5,1,47.743487
RV5,3,40.966633
RV5,4,52.212218
RV5,5,44.100995
RV5,7,43.374598
RV5,9,52.409944
RV5,10,31.008156
RV5,11,56.162827
RV5,12,34.339344
RV5,13,31.174800
RV5,14,44.356706
RV5,15,13.561657
RV5,16,41.595472
RV5,17,49.361455
RV5,18,36.076606
RV5,19,47.776231
RV5,20,40.554331
RV5,21,41.651509
RV5,22,58.867214
RV5,23,37.536844
RV5,24,46.179377
TH1,1,10.955316
TH1,2,7.301509
TH1,3,24.145700
TH1,4,6.455197
TH1,5,7.486962
TH1,6,76.019797
TH1,7,14.089599
TH1,8,19.413922
TH1,9,42.095902
TH1,10,24.778780
TH1,11,4.169529
TH1,12,38.200623
TH1,13,33.266000
TH1,14,18.321187
TH1,15,33.404203
TH1,16,14.635701
TH1,17,14.325407
TH1,18,12.702142
TH1,19,23.930032
TH1,20,14.650401
TH1,21,23.038707
TH1,22,31.221153
TH1,23,14.880009
TH1,24,10.034298
TH3,1,13.563210
TH3,2,30.755397
TH3,3,20.440617
TH3,4,14.695318
TH3,5,11.849131
TH3,6,61.954714
TH3,7,20.560034
TH3,8,24.511957
TH3,9,10.843752
TH3,10,23.417749
TH3,11,12.676193
TH3,12,18.318817
TH3,13,21.032380
TH3,14,22.150475
TH3,15,25.857324
TH3,16,23.926375
TH3,17,17.227800
TH3,18,23.503005
TH3,19,48.850690
TH3,20,8.710004
TH3,21,11.570194
TH3,22,12.428999
TH3,23,25.994957
TH3,24,18.197297
TH5,1,13.210204
TH5,3,27.087209
TH5,4,23.281169
TH5,5,14.668727
TH5,6,49.691064
TH5,7,14.959140
TH5,8,35.809374
TH5,9,9.112045
TH5,10,32.416556
TH5,11,22.984793
TH5,12,25.795116
TH5,13,62.903513
TH5,14,12.709155
TH5,15,31.376752
TH5,16,29.798430
TH5,17,22.184097
TH5,18,26.606582
TH5,19,2.382553
TH5,20,7.619756
TH5,21,20.687550
TH5,22,9.688547
TH5,23,6.502210
TH5,24,9.684244
MH1,1,35.837967
MH1,3,17.228900
MH1,4,23.998348
MH1,5,29.142921
MH1,6,40.363130
MH1,7,24.220281
MH1,8,7.200311
MH1,9,14.427930
MH1,10,25.075058
MH1,11,25.960060
MH1,12,9.931772
MH1,13,26.671887
MH1,14,28.037680
MH1,15,17.730446
MH1,16,11.604745
MH1,17,15.048819
MH1,18,29.353096
MH1,19,41.266110
MH1,20,12.235295
MH1,21,9.433004
MH1,22,17.744745
MH1,23,6.367182
MH1,24,28.375198
MH2,1,6.511740
MH2,2,44.698620
MH2,3,23.239209
MH2,4,20.153790
MH2,5,23.589678
MH2,6,46.253805
MH2,7,8.549967
MH2,8,30.001462
MH2,9,16.517767
MH2,10,30.203399
MH2,11,49.125750
MH2,12,24.307190
MH2,13,43.951968
MH2,14,28.214738
MH2,15,27.204969
MH2,16,8.221180
MH2,17,6.120117
MH2,18,15.136008
MH2,19,38.594894
MH2,20,14.790298
MH2,21,38.421060
MH2,22,30.014890
MH2,23,8.089511
MH2,24,21.932863
MH3,1,7.765539
MH3,3,10.543684
MH3,4,23.665169
MH3,5,27.030267
MH3,6,41.345742
MH3,7,19.334090
MH3,8,29.706633
MH3,9,19.909830
MH3,10,27.282924
MH3,11,6.745519
MH3,12,12.189358
MH3,13,44.237320
MH3,14,13.385400
MH3,15,20.125639
MH3,16,7.329146
MH3,17,32.537419
MH3,18,26.029940
MH3,19,9.800267
MH3,20,20.559501
MH3,21,12.039505
MH3,22,25.104335
MH3,23,27.062203
MH3,24,16.676168
MH4,1,19.454330
MH4,2,30.815198
MH4,3,11.527686
MH4,4,20.913755
MH4,5,29.689187
MH4,6,25.748930
MH4,7,22.435617
MH4,8,41.350023
MH4,9,13.862399
MH4,10,32.791686
MH4,11,31.978765
MH4,12,28.630878
MH4,13,37.998986
MH4,14,22.838261
MH4,15,5.047594
MH4,16,15.929170
MH4,17,27.134340
MH4,18,27.295838
MH4,19,30.172010
MH4,20,18.816322
MH4,21,11.969036
MH4,22,31.977077
MH4,23,29.277162
MH4,24,24.000908
MH5,1,24.489796
MH5,2,28.028067
MH5,3,28.289838
MH5,4,36.678901
MH5,5,28.515191
MH5,6,43.173143
MH5,7,25.464656
MH5,8,37.153109
MH5,9,5.592826
MH5,10,41.099292
MH5,11,30.407513
MH5,12,28.127883
MH5,13,30.211809
MH5,14,31.371611
MH5,15,22.059558
MH5,16,24.329287
MH5,17,52.977093
MH5,18,17.942071
MH5,19,28.849342
MH5,20,21.941178
MH5,21,34.162026
MH5,22,15.080327
MH5,23,22.266539
MH5,24,24.784763
BH1,1,2.753087
BH1,3,24.952822
BH1,4,44.130719
BH1,5,47.825778
BH1,7,30.356689
BH1,8,39.684570
BH1,9,54.389911
BH1,10,26.024478
BH1,12,21.709592
BH1,13,41.660480
BH1,14,23.669715
BH1,15,29.742893
BH1,16,19.041143
BH1,17,41.581778
BH1,18,14.017802
BH1,19,25.540729
BH1,20,17.764270
BH1,21,16.864277
BH1,22,8.771808
BH1,23,31.442364
BH1,24,30.836635
BH3,1,23.432132
BH3,3,33.522466
BH3,4,34.677869
BH3,5,36.954226
BH3,6,65.245864
BH3,7,24.206925
BH3,8,33.225650
BH3,9,16.533491
BH3,10,25.491147
BH3,11,30.404788
BH3,12,35.476977
BH3,13,12.948734
BH3,14,16.986599
BH3,15,11.083134
BH3,16,29.422155
BH3,17,37.635499
BH3,18,23.951910
BH3,19,10.919516
BH3,20,16.226165
BH3,21,18.645478
BH3,22,17.223257
BH3,23,26.912467
BH3,24,9.465573
BH5,1,32.095294
BH5,3,26.081693
BH5,4,18.009655
BH5,5,52.591161
BH5,7,36.704397
BH5,8,39.650559
BH5,9,17.528762
BH5,10,25.002060
BH5,11,34.167433
BH5,12,17.968258
BH5,13,22.500134
BH5,14,38.739239
BH5,15,46.984748
BH5,16,25.809442
BH5,17,32.458925
BH5,18,53.523121
BH5,19,21.151444
BH5,20,34.868736
BH5,21,28.802920
BH5,22,30.121845
BH5,23,22.334983
BH5,24,8.509515
DA1,1,3.218576
DA1,2,46.481956
DA1,3,33.657297
DA1,4,24.097263
DA1,5,46.029768
DA1,6,24.355860
DA1,7,31.288205
DA1,8,41.348113
DA1,9,26.932462
DA1,10,7.027579
DA1,11,31.699729
DA1,12,26.481265
DA1,13,21.195221
DA1,14,32.853240
DA1,15,6.703650
DA1,16,15.998328
DA1,17,5.574807
DA1,18,24.348628
DA1,19,36.166238
DA1,20,6.737850
DA1,21,21.113326
DA1,22,10.106801
DA1,23,27.513605
DA1,24,24.629939
DA3,1,13.197038
DA3,3,16.841665
DA3,4,25.256448
DA3,5,33.959888
DA3,6,64.052554
DA3,7,19.513390
DA3,8,41.318280
DA3,9,12.920480
DA3,10,32.932078
DA3,11,25.589751
DA3,12,46.148457
DA3,13,43.139285
DA3,14,26.850630
DA3,15,23.436540
DA3,16,17.726864
DA3,17,34.116973
DA3,18,9.080209
DA3,19,30.092661
DA3,20,21.556977
DA3,21,24.578553
DA3,22,24.375892
DA3,23,28.402814
DA3,24,26.804206
DA5,1,2.921501
DA5,3,32.165304
DA5,4,34.473004
DA5,5,32.102686
DA5,7,13.508499
DA5,8,38.711743
DA5,9,18.986220
DA5,10,37.807210
DA5,11,10.306556
DA5,12,13.552456
DA5,13,59.064292
DA5,14,32.816219
DA5,15,28.022331
DA5,16,25.990204
DA5,17,20.072095
DA5,18,5.238539
DA5,19,22.088204
DA5,20,9.988997
DA5,21,28.459546
DA5,22,10.356331
DA5,23,42.148264
DA5,24,16.614105
DB1,1,16.092002
DB1,3,29.330268
DB1,4,11.291535
DB1,5,21.701708
DB1,6,54.911511
DB1,7,17.453849
DB1,8,45.334423
DB1,9,15.739702
DB1,10,11.973445
DB1,11,38.284446
DB1,12,36.138249
DB1,13,36.734596
DB1,14,14.962561
DB1,15,15.514862
DB1,16,11.974717
DB1,17,17.055406
DB1,18,16.234035
DB1,19,41.256622
DB1,20,7.193780
DB1,21,31.611457
DB1,22,22.027642
DB1,23,20.087804
DB1,24,3.338376
DB3,1,18.559948
DB3,2,42.367184
DB3,3,17.813579
DB3,4,18.502494
DB3,5,35.810479
DB3,6,38.506716
DB3,7,16.964441
DB3,8,40.952117
DB3,9,9.920623
DB3,10,29.367347
DB3,11,18.273202
DB3,12,36.028675
DB3,13,32.511116
DB3,14,43.328160
DB3,15,33.337439
DB3,16,26.530454
DB3,17,18.521113
DB3,18,27.640732
DB3,19,21.458402
DB3,20,27.226038
DB3,21,22.072548
DB3,22,20.718877
DB3,23,17.917760
DB3,24,30.499521
DB5,1,25.936269
DB5,2,13.841810
DB5,3,30.048204
DB5,4,35.245371
DB5,5,40.252886
DB5,6,36.973855
DB5,7,17.677495
DB5,8,24.002737
DB5,9,25.295195
DB5,10,31.657093
DB5,11,17.147784
DB5,12,28.483168
DB5,13,40.646958
DB5,14,26.693514
DB5,15,18.902817
DB5,16,23.018840
DB5,17,44.487527
DB5,18,40.685923
DB5,19,40.302899
DB5,20,29.121350
DB5,21,22.374246
DB5,22,27.209822
DB5,23,18.378417
DB5,24,6.943675
