pair_id,participant,thermal_tactile_symmetric_set_distance_mm
LV1,1,88.400982
LV1,2,11.081126
LV1,3,74.579081
LV1,4,28.980548
LV1,5,63.169247
LV1,6,62.042220
LV1,7,87.891532
LV1,8,0.071650
LV1,9,67.057494
LV1,10,48.736357
LV1,11,4.443454
LV1,12,66.348966
LV1,13,55.565600
LV1,14,49.485167
LV1,15,57.744441
LV1,16,17.331332
LV1,17,19.898087
LV1,18,56.048073
LV1,19,101.263164
LV1,20,5.607666
LV1,21,14.527490
LV1,22,49.763317
LV1,23,84.228856
LV1,24,36.305570
LV3,1,116.138141
LV3,2,30.147521
LV3,3,92.022727
LV3,4,3.241917
LV3,5,61.477358
LV3,6,80.855065
LV3,7,46.171155
LV3,8,0.291775
LV3,9,59.849588
LV3,10,16.421592
LV3,11,12.167848
LV3,12,73.967449
LV3,13,33.069510
LV3,14,48.266038
LV3,15,87.957057
LV3,16,5.306573
LV3,17,24.568712
LV3,18,64.188276
LV3,19,74.045021
LV3,20,13.543118
LV3,21,21.998503
LV3,22,8.923906
LV3,23,63.927596
LV3,24,24.608147
LV5,1,105.673470
LV5,3,76.539659
LV5,4,19.206194
LV5,5,112.586566
LV5,6,94.402344
LV5,7,94.011276
LV5,8,0.088843
LV5,9,74.940398
LV5,10,3.708546
LV5,11,21.074803
LV5,12,86.450482
LV5,13,42.610464
LV5,15,79.985793
LV5,16,6.073530
LV5,17,18.798581
LV5,18,59.029821
LV5,19,54.788392
LV5,20,16.136495
LV5,21,4.323754
LV5,22,24.404626
LV5,23,88.414751
LV5,24,19.734066
MV1,1,10.578578
MV1,3,2.473274
MV1,4,16.141548
MV1,5,54.860466
MV1,6,41.536275
MV1,7,42.489419
MV1,8,27.705214
MV1,9,46.520780
MV1,10,8.298193
MV1,11,1.574998
MV1,12,16.885668
MV1,13,29.255928
MV1,14,1.376708
MV1,15,33.841774
MV1,16,12.079807
MV1,17,15.291334
MV1,18,26.868713
MV1,19,43.108661
MV1,20,6.666684
MV1,21,36.609727
MV1,22,16.429689
MV1,23,9.090753
MV1,24,16.467303
MV2,1,32.282799
MV2,2,8.000962
MV2,3,21.959204
MV2,4,5.133974
MV2,5,33.083417
MV2,6,64.981496
MV2,7,30.854286
MV2,8,9.218651
MV2,9,45.182720
MV2,10,13.341489
MV2,11,14.112704
MV2,12,54.471614
MV2,13,38.103125
MV2,14,3.263164
MV2,15,20.226955
MV2,16,1.896426
MV2,17,25.244682
MV2,18,33.075193
MV2,19,31.260289
MV2,20,16.490915
MV2,21,4.045853
MV2,22,21.678272
MV2,23,9.089737
MV2,24,9.269250
MV3,1,4.327749
MV3,3,12.047343
MV3,4,9.336080
MV3,5,61.862794
MV3,6,79.800456
MV3,7,61.914772
MV3,8,8.423030
MV3,9,71.607609
MV3,10,14.663630
MV3,11,2.433124
MV3,12,59.016810
MV3,13,11.132014
MV3,14,26.891755
MV3,15,23.554069
MV3,16,19.957486
MV3,17,10.632564
MV3,18,38.371437
MV3,19,52.893969
MV3,20,4.268508
MV3,21,24.726894
MV3,22,27.690459
MV3,23,13.810288
MV3,24,19.242737
MV4,1,15.680842
MV4,2,64.472367
MV4,3,13.031742
MV4,4,9.094379
MV4,5,69.768214
MV4,6,75.475645
MV4,7,55.052245
MV4,8,7.556494
MV4,9,78.905955
MV4,10,7.754868
MV4,11,0.091665
MV4,12,67.024641
MV4,13,3.437187
MV4,14,15.864639
MV4,15,47.308860
MV4,16,0.443375
MV4,17,11.602780
MV4,18,46.922647
MV4,19,39.506582
MV4,20,23.501910
MV4,21,4.100359
MV4,22,16.847066
MV4,23,12.027293
MV4,24,10.012100
MV5,1,31.381738
MV5,3,31.414379
MV5,4,14.582356
MV5,5,86.650733
MV5,6,80.103245
MV5,7,52.328724
MV5,8,22.523118
MV5,9,67.669927
MV5,10,17.713095
MV5,11,51.796584
MV5,12,85.733388
MV5,13,29.165013
MV5,14,44.286854
MV5,15,48.324474
MV5,16,2.677321
MV5,17,13.926196
MV5,18,30.852621
MV5,19,35.422720
MV5,20,17.177492
MV5,21,5.121449
MV5,22,37.675778
MV5,23,22.265214
MV5,24,55.965186
RV1,1,44.759746
RV1,3,79.417863
RV1,4,14.532927
RV1,5,75.829758
RV1,6,83.509772
RV1,7,29.409652
RV1,8,0.012179
RV1,9,69.885544
RV1,10,22.594359
RV1,11,7.992657
RV1,12,8.794384
RV1,13,83.522907
RV1,15,44.806352
RV1,16,8.501379
RV1,17,7.286938
RV1,18,37.329607
RV1,19,87.039827
RV1,20,10.866585
RV1,21,0.638294
