participant,matched_mean_distance_mm,mean_random_relabeled_distance_mm,permutation_ci95_low_randomly_relabeled_distance_mm,permutation_ci95_high_randomly_relabeled_distance_mm,,,randomly relabeled distance minus matched distance
21,9.207524,43.082863,36.742933,49.101528,,,33.875339
8,10.396872,55.913377,47.507832,63.881288,,,45.516505
4,11.076145,42.814176,35.569428,49.679338,,,31.738031
20,13.046731,37.96983,31.616233,43.763271,,,24.923099
11,14.114916,48.857596,41.270219,55.904809,,,34.74268
16,14.8734,46.234063,39.251715,52.635141,,,31.360663
10,18.490811,41.545825,35.351261,47.059336,,,23.055014
17,22.418791,55.649289,46.942726,64.146753,,,33.230498
2,24.69199,58.647204,43.130526,72.794157,,,33.955214
23,29.587393,49.927884,43.426449,56.088002,,,20.340491
13,34.738558,31.768164,27.223703,35.99782,,,-2.970394
12,35.946188,51.21073,45.492472,56.652698,,,15.264542
14,36.44871,48.769443,44.32495,53.102338,,,12.320733
15,36.650027,43.642922,40.114978,47.205718,,,6.992895
22,38.736202,49.415672,43.126454,55.356257,,,10.67947
3,42.808653,54.56897,48.563512,60.447736,,,11.760317
24,43.358031,51.5447,46.392744,56.446181,,,8.186669
7,44.449885,55.394102,51.053367,59.544714,,,10.944217
9,46.872868,45.377371,38.913736,51.556589,,,-1.495497
19,47.914628,51.333043,45.254972,57.070618,,,3.418415
1,49.134982,53.983421,49.486024,58.387346,,,4.848439
18,50.794525,55.925881,53.408916,58.519538,,,5.131356
6,58.344853,58.253224,50.304022,65.880896,,,-0.091629
5,62.479612,62.159496,59.387728,64.916257,,,-0.320116
