participant,matched_mean_distance_mm,random_label_distance_mm
1,49.134982,53.983421
2,24.69199,58.647204
3,42.808653,54.56897
4,11.076145,42.814176
5,62.479612,62.159496
6,58.344853,58.253224
7,44.449885,55.394102
8,10.396872,55.913377
9,46.872868,45.377371
10,18.490811,41.545825
11,14.114916,48.857596
12,35.946188,51.21073
13,34.738558,31.768164
14,36.44871,48.769443
15,36.650027,43.642922
16,14.8734,46.234063
17,22.418791,55.649289
18,50.794525,55.925881
19,47.914628,51.333043
20,13.046731,37.96983
21,9.207524,43.082863
22,38.736202,49.415672
23,29.587393,49.927884
24,43.358031,51.5447
