participant,mean_matched_interparticipant_thermal_distance_mm,mean_random_relabeled_thermal_distance_mm,permutation_ci95_low_randomly_relabeled_distance_mm,permutation_ci95_high_randomly_relabeled_distance_mm,,,randomly relabeled distance minus matched distance
20,36.445833,42.328079,41.255368,43.412882,,,5.882246
7,36.733135,40.305679,39.488152,41.089055,,,3.572544
23,36.778683,43.087377,42.010342,44.149193,,,6.308694
18,37.159863,39.39588,38.760198,40.034755,,,2.236017
21,37.428267,45.887145,44.796793,46.96807,,,8.458878
1,37.58252,40.317728,39.350482,41.259912,,,2.735208
15,38.129393,39.79121,39.057471,40.54116,,,1.661817
16,38.288211,46.706042,45.505049,47.906778,,,8.417831
3,39.174863,41.126521,40.105471,42.127629,,,1.951658
14,39.260896,42.190627,41.41237,42.954508,,,2.929731
10,39.426155,45.219564,44.170173,46.282764,,,5.793409
9,40.9769,42.013486,41.020595,43.021426,,,1.036586
5,41.914403,41.959385,41.39948,42.511727,,,0.044982
4,42.445931,51.110171,49.983788,52.274091,,,8.66424
24,42.597443,45.594425,44.684478,46.489912,,,2.996982
11,42.812123,50.316401,49.162634,51.460746,,,7.504278
19,42.861947,42.898257,41.869311,43.93778,,,0.03631
22,43.6653,45.616953,44.60001,46.643857,,,1.951653
12,44.556573,48.126127,47.164629,49.048398,,,3.569554
17,45.574391,54.393527,53.030843,55.743498,,,8.819136
8,48.064385,56.972272,55.671428,58.265625,,,8.907887
13,48.407712,47.598589,46.822264,48.374281,,,-0.809123
2,49.121659,55.20299,53.181297,57.169448,,,6.081331
6,54.244147,50.776678,49.397705,52.185586,,,-3.467469
