participant,matched_mean_distance_mm,random_label_distance_mm
1,37.58252,40.315071
2,49.121659,55.200421
3,39.174863,41.131981
4,42.445931,51.108733
5,41.914403,41.958081
6,54.244147,50.773026
7,36.733135,40.308263
8,48.064385,56.971517
9,40.9769,42.008965
10,39.426155,45.220753
11,42.812123,50.317671
12,44.556573,48.126258
13,48.407712,47.599811
14,39.260896,42.192621
15,38.129393,39.787323
16,38.288211,46.704034
17,45.574391,54.394686
18,37.159863,39.396845
19,42.861947,42.894033
20,36.445833,42.319777
21,37.428267,45.890251
22,43.6653,45.61266
23,36.778683,43.094566
24,42.597443,45.594775
