participant,midpoint_mean_error_mm,population_mean_mm,population mean + global offset_mm
1,37.678519,17.278478,16.450225
2,37.630472,21.934315,21.917422
3,38.214292,19.470874,21.192057
4,33.351454,14.58366,13.816948
5,35.048329,18.688213,19.719638
6,33.325582,25.024305,22.007576
7,33.953615,16.648214,16.957646
8,40.813277,24.706551,22.260533
9,23.631296,14.291188,13.421885
10,24.975556,21.832601,21.899801
11,34.594168,21.693379,18.789023
12,35.568714,23.249848,17.586887
13,30.637832,25.744882,24.620152
14,32.892053,17.879849,15.706924
15,36.23766,26.362675,24.91147
16,24.376108,15.171979,13.181861
17,38.683244,27.562176,27.443735
18,37.454628,19.403321,14.318674
19,33.951334,18.496892,17.522101
20,29.550861,22.100494,21.595854
21,30.560838,16.733104,14.249874
22,34.126522,19.131484,19.168053
23,25.59646,20.526199,20.707796
24,37.940673,26.525194,24.92472
