participant,midpoint_mean_forward_prediction_error_mm,thermal_Bayesian_mean_forward_prediction_error_mm,tactile_guided_bayesian_mean_forward_prediction_error_mm
1,30.27512771,27.53691555,27.53691555
2,40.59035084,36.58787105,19.9654827
3,39.94522984,22.69526529,19.85432639
4,32.43169333,25.24232359,13.34781279
5,44.43539625,19.345538,19.345538
6,60.43423633,51.06327544,51.06327544
7,35.08043939,21.50897514,22.47498367
8,38.48948773,30.95636911,8.249480036
9,42.72524064,26.7351295,26.7351295
10,23.16549208,22.43565983,17.19331516
11,35.04666901,29.53311782,13.15848393
12,40.94835333,27.59593957,27.33638422
13,43.84757492,28.12865045,26.09405842
14,35.54045676,16.30554256,14.09349782
15,39.19145845,22.58788864,21.56654098
16,20.77296057,26.65770227,14.37232915
17,33.43886051,27.55033943,18.85962564
18,28.66064379,18.32767131,18.32767131
19,45.79096435,28.36703866,28.36703866
20,25.83028324,22.14274886,11.3359865
21,31.77419234,22.89693133,11.48848368
22,37.94932107,27.50021808,25.13580721
23,26.22012972,23.81921288,23.81921288
24,33.80581243,34.18048755,34.18048755
