participant,midpoint_mean_target_error_mm,thermal_bayesian_target_error_mm,tactile_guided_Bayesian_target_error_mm
1,21.37911991,28.19491368,28.19491368
2,28.48095067,19.83611055,5.418508951
3,28.14785564,22.63876555,17.61618288
4,31.03533632,13.68284552,7.320856779
5,14.76755667,15.68912343,15.68912343
6,77.52910525,74.01582162,74.01582162
7,18.18442328,25.42332795,22.28342662
8,35.04437214,26.80899226,6.457778349
9,34.68667176,37.09845976,37.09845976
10,19.62965204,22.69863003,14.87169767
11,25.12168934,18.7254663,3.445230099
12,21.56086104,34.3396246,21.37074884
13,26.40458333,14.04198825,14.97801826
14,19.91294719,20.00742481,12.87199655
15,24.20304852,24.64584213,18.3384122
16,20.60569613,22.16500353,11.80257996
17,32.09904458,23.23063068,17.15498744
18,14.07134928,12.97880843,12.97880843
19,45.85604554,28.65971062,28.65971062
20,21.7745728,21.65122247,7.716782499
21,23.44494018,15.44016373,3.970877022
22,35.06902859,36.26894247,30.21175395
23,20.84522529,24.48830617,24.48830617
24,24.42369197,23.16698515,23.16698515
