participant,midpoint_pair_agreement_percent,thermal_Bayesian_pair_agreement_percent,tactile_guided_Bayesian_pair_agreement_percent
1,9.782608696,0,0
2,16.66666667,37.5,75
3,5.797101449,4.347826087,21.73913044
4,14.13043478,21.73913044,39.13043478
5,3.985507246,4.347826087,4.347826087
6,0,5.263157895,5.263157895
7,10.86956522,0,4.347826087
8,20.45454545,22.72727273,68.18181818
9,3.623188406,8.695652174,8.695652174
10,17.02898551,13.04347826,30.43478261
11,15.15151515,22.72727273,63.63636364
12,10.14492754,4.347826087,8.695652174
13,5.797101449,8.695652174,8.695652174
14,11.5942029,13.04347826,21.73913044
15,4.347826087,4.347826087,13.04347826
16,22.46376812,8.695652174,39.13043478
17,18.47826087,8.695652174,34.7826087
18,11.5942029,8.695652174,8.695652174
19,1.449275362,8.695652174,8.695652174
20,3.623188406,13.04347826,39.13043478
21,20.28985507,26.08695652,56.52173913
22,1.449275362,4.347826087,8.695652174
23,16.66666667,13.04347826,13.04347826
24,7.246376812,4.347826087,4.347826087
