pair_id,midpoint_mean_error_mm,midpoint_SEM_error_mm,thermal_Bayesian_mean_error_mm,Bayesian_SEM_error_mm,tactile_guided_mean_error_mm,tactile_guided_SEM_error_mm
LV1,59.91795385,5.990571199,27.02941156,4.186645727,22.28250932,3.507794708
LV3,46.65014314,6.707936317,29.3996148,4.757961935,23.55009712,4.1902739
LV5,54.95464599,7.872119277,32.40781217,5.296075063,26.47275564,5.188986056
MV1,26.88922315,3.902380985,27.71638619,3.875886634,24.56456904,3.729508057
MV2,26.28464734,3.624459438,27.36846704,2.8410042,22.23160288,3.138098034
MV3,28.93746084,2.925297271,25.62185867,2.769830712,22.87635962,3.064038305
MV4,30.63658236,3.26615741,28.60959749,3.635540061,23.27708533,4.495452264
MV5,25.86657965,3.066429083,24.78024181,2.205049175,21.85021211,2.906289791
RV1,42.8592876,7.924466251,34.47824764,3.504842241,26.00275522,4.705754217
RV3,46.3476467,5.269509241,25.49173558,3.28653063,20.05488187,3.079129144
RV5,0,0,0,0,0,0
TH1,28.31004223,4.117807699,22.51049835,3.681283875,19.63863088,4.008897429
TH3,35.80188814,3.558813867,19.3866945,2.103704527,16.95268525,2.206756145
TH5,38.03309106,4.216560871,23.4340787,3.284963294,22.5318423,3.581629033
MH1,22.14332498,2.052873551,23.79674198,2.841377203,19.22442423,3.142555384
MH2,27.43007689,2.985509581,29.10254308,3.068491112,23.45784285,3.29134098
MH3,31.51023409,3.223446305,22.32454709,2.939337601,19.22509571,3.000838582
MH4,40.55455373,3.477602099,23.93110474,2.256856172,16.93524613,2.11422383
MH5,30.12676578,3.675296114,23.53248383,3.345052217,21.96660002,2.825250744
BH1,47.70728132,4.917066733,31.86568529,3.423938583,25.40671609,4.114669477
BH3,49.35798988,5.159799058,25.76437596,3.619415374,16.79113298,3.625007321
BH5,62.84883126,3.118323348,25.10431746,3.141205766,16.26004985,3.289663079
DA1,24.11399575,2.61945781,25.5675211,2.311087398,19.27560407,2.497556872
DA3,32.79064555,3.794551988,29.1417196,3.140942681,22.70544888,3.594317069
DA5,42.52209641,4.063325074,23.69929168,2.910338772,19.1928618,3.242350904
DB1,23.94976033,2.898206261,26.16123869,3.025442331,23.05063324,3.585354033
DB3,32.65602821,3.974699234,28.50700655,2.408243869,22.76943213,2.494938858
DB5,51.50035204,10.20087303,30.00539159,6.340254705,14.71602327,2.224241762
